,Store,Department,RMSE,Accuracy
498,7,13,750.93,0.9521
499,7,14,1005.84,0.8968
500,7,16,5089.11,0.7494
501,7,17,1348.63,0.7247
502,7,18,error,error
503,7,19,error,error
504,7,20,1345.55,0.5987
505,7,21,577.44,0.7229
506,7,22,1361.51,0.8009
507,7,23,4394.52,0.6756
508,7,24,500.2,0.7834
509,7,25,1447.2,0.7142
510,7,26,606.14,0.6826
511,7,27,218.67,0.7012
512,7,28,1164.46,-5.3541
513,7,29,338.45,0.7238
514,7,30,251.41,0.7879
515,7,31,923.62,0.3771
516,7,32,821.25,0.7955
517,7,33,874.43,0.6279
518,7,34,1096.0,0.7587
519,7,35,95.68,0.4849
520,7,36,751.33,0.4574
521,7,37,error,error
522,7,38,4409.85,0.8565
523,7,40,1748.81,0.9431
524,7,41,2212.47,-0.1482
525,7,42,1695.89,0.753
526,7,44,599.27,0.8253
527,7,45,error,error
528,7,46,1773.55,0.8875
529,7,47,error,error
530,7,48,error,error
531,7,49,error,error
532,7,51,error,error
533,7,52,841.76,0.2298
534,7,54,error,error
535,7,55,error,error
536,7,56,40323.4,-2.6134
537,7,58,error,error
538,7,59,error,error
539,7,60,37.9,0.6115
540,7,67,1070.88,0.7368
541,7,71,561.92,0.7416
542,7,72,5780.81,0.8542
543,7,74,1152.25,0.8891
544,7,77,error,error
545,7,78,error,error
546,7,79,644.61,0.89
547,7,80,error,error
548,7,81,795.52,0.881
549,7,82,1589.89,0.8267
550,7,83,error,error
551,7,85,1060.13,0.4493
552,7,87,11868.54,0.0774
553,7,90,15172.89,-0.0196
554,7,91,36824.23,-2.4888
555,7,92,5913.21,0.7849
556,7,93,542.78,0.6829
557,7,94,error,error
558,7,95,10817.12,0.7132
559,7,96,977.15,0.1348
560,7,97,1503.6,0.6869
561,7,98,error,error
562,7,99,error,error
563,7,39,error,error
564,7,50,error,error
565,7,43,error,error
566,7,65,error,error
567,8,1,6263.28,0.5158
568,8,2,10789.55,0.6975
569,8,3,error,error
570,8,4,1114.54,0.9492
571,8,5,3258.04,0.8016
572,8,6,953.11,0.6473
573,8,7,3781.54,0.8009
574,8,8,1551.35,0.9451
575,8,9,error,error
576,8,10,2406.32,0.8862
577,8,11,3727.39,0.7974
578,8,12,1193.22,0.8521
579,8,13,1506.33,0.9411
580,8,14,1604.37,0.8325
581,8,16,4493.19,0.8026
582,8,17,886.93,0.8669
583,8,18,error,error
584,8,19,495.21,0.0932
585,8,20,1696.88,0.5795
586,8,21,422.36,0.8876
587,8,22,1322.61,0.8032
588,8,23,2041.77,0.8568
589,8,24,1715.16,0.6219
590,8,25,2152.42,0.6682
591,8,26,1109.19,0.7778
592,8,27,343.24,0.5221
593,8,28,76.75,0.6769
594,8,29,405.35,0.8306
595,8,30,385.61,0.8262
596,8,31,598.2,0.5906
597,8,32,1866.86,0.6061
598,8,33,1655.73,0.7111
599,8,34,4850.34,0.3922
600,8,35,347.86,0.793
601,8,36,722.28,0.2004
602,8,37,459.47,0.7783
603,8,38,12025.25,0.8063
604,8,40,1837.74,0.9513
605,8,41,91708.09,-73.8102
606,8,42,707.81,0.869
607,8,44,678.43,0.8095
608,8,45,error,error
609,8,46,1549.98,0.9145
610,8,47,error,error
611,8,48,error,error
612,8,49,1065.47,0.5233
613,8,51,error,error
614,8,52,552.81,0.584
615,8,54,error,error
616,8,55,1191.7,0.7754
617,8,56,2610.17,0.6129
618,8,58,error,error
619,8,59,216.12,-0.3847
620,8,60,error,error
621,8,67,2292.24,0.5885
622,8,71,603.43,0.6695
623,8,72,6554.93,0.786
624,8,74,2033.94,0.7697
625,8,77,error,error
626,8,78,error,error
627,8,79,2510.47,0.8871
628,8,80,651.84,0.9311
629,8,81,839.07,0.9349
630,8,82,2223.0,0.8413
631,8,83,646.86,0.7624
632,8,85,390.25,0.803
633,8,87,19935.06,0.1925
634,8,90,2863.98,0.9287
635,8,91,2086.43,0.9345
636,8,92,3695.09,0.9401
637,8,93,2279.71,0.9229
638,8,94,4732.68,0.8232
639,8,95,2916.69,0.9553
640,8,96,error,error
641,8,97,884.68,0.9496
642,8,98,847.0,0.8803
643,8,99,error,error
644,8,39,error,error
645,8,50,error,error
646,8,43,error,error
647,8,65,error,error
648,9,1,4601.78,0.6073
649,9,2,error,error
650,9,3,4783.54,0.4577
651,9,4,958.9,0.9472
652,9,5,4837.29,0.7108
653,9,6,993.99,0.5377
654,9,7,2439.26,0.8153
655,9,8,1832.59,0.9216
656,9,9,2479.55,0.8456
657,9,10,1501.59,0.8975
658,9,11,3527.25,0.7906
659,9,12,1044.15,0.8571
660,9,13,1221.32,0.9476
661,9,14,1562.78,0.7638
662,9,16,error,error
663,9,17,608.12,0.8782
664,9,18,error,error
665,9,19,577.82,0.6035
666,9,20,567.02,0.7947
667,9,21,704.95,0.7962
668,9,22,1711.53,0.6797
669,9,23,1684.14,0.8583
670,9,24,1717.29,0.3365
671,9,25,1624.6,0.6606
672,9,26,1267.55,0.6817
673,9,27,181.36,0.6898
674,9,28,error,error
675,9,29,463.16,0.7495
676,9,30,340.68,0.7904
677,9,31,817.1,0.0873
678,9,32,1835.88,0.527
679,9,33,763.38,0.7387
680,9,34,1238.47,0.7797
681,9,35,368.39,0.7268
682,9,36,error,error
683,9,37,error,error
684,9,38,11735.97,0.841
685,9,40,5931.7,0.7966
686,9,41,843.55,0.1236
687,9,42,833.66,0.7434
688,9,44,517.6,0.8577
689,9,45,error,error
