,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
169,3,8,361.88,8557.38,0.9577,lm-3
170,3,9,1956.51,11549.59,0.8306,lm-3
171,3,10,1588.94,13378.96,0.8812,lm-1
172,3,11,3572.93,10552.78,0.6614,lm-1
173,3,12,400.19,2715.04,0.8526,lm-3
174,3,13,933.78,12156.43,0.9232,lm-3
175,3,14,837.13,4807.68,0.8259,lm-2
176,3,16,819.82,6624.08,0.8762,lm-2
177,3,17,533.31,2556.55,0.7914,lm-2
178,3,18,493.78,1244.45,0.6032,lm-3
179,3,19,264.42,613.61,0.5691,lm-1
180,3,20,286.62,2045.84,0.8599,lm-1
181,3,21,206.38,1334.33,0.8453,lm-3
182,3,22,701.27,3914.06,0.8208,lm-1
183,3,23,1369.81,13828.33,0.9009,lm-1
184,3,24,1678.18,3391.67,0.5052,lm-1
185,3,25,599.97,4625.21,0.8703,lm-1
186,3,26,440.4,2353.36,0.8129,lm-3
187,3,27,121.25,462.44,0.7378,lm-2
188,3,28,29.54,102.48,0.7117,lm-3
189,3,29,388.18,1374.44,0.7176,lm-2
190,3,30,349.91,1388.21,0.7479,lm-1
191,3,31,392.51,1127.11,0.6518,lm-3
192,3,32,1353.24,3790.73,0.643,lm-3
193,3,33,1082.75,3895.29,0.722,lm-1
194,3,34,901.99,4000.05,0.7745,lm-1
195,3,35,558.7,854.72,0.3463,lm-3
196,3,36,206.37,316.6,0.3482,lm-3
197,3,37,error,error,error,error
198,3,38,9466.05,87643.81,0.892,lm-2
199,3,40,995.98,19396.24,0.9487,lm-1
200,3,41,183.84,431.57,0.574,lm-1
201,3,42,1135.29,5124.99,0.7785,lm-3
202,3,44,383.58,2399.34,0.8401,lm-2
203,3,45,error,error,error,error
204,3,46,553.32,6071.17,0.9089,lm-1
205,3,47,error,error,error,error
206,3,48,error,error,error,error
207,3,49,9.33,13.91,0.3294,lm-2
208,3,51,error,error,error,error
209,3,52,151.6,1029.52,0.8528,lm-1
210,3,54,24.08,32.14,0.2508,lm-1
211,3,55,1224.63,7360.23,0.8336,lm-1
212,3,56,261.77,592.6,0.5583,lm-1
213,3,58,error,error,error,error
214,3,59,41.72,5.78,-6.2152,lm-1
215,3,60,32.68,141.63,0.7693,lm-2
216,3,67,329.66,1637.83,0.7987,lm-2
217,3,71,568.99,1293.54,0.5601,lm-1
218,3,72,4172.03,26765.94,0.8441,lm-1
219,3,74,514.43,3611.01,0.8575,lm-3
220,3,77,error,error,error,error
221,3,78,error,error,error,error
222,3,79,614.91,7289.53,0.9156,lm-1
223,3,80,8.66,6.32,-0.3697,lm-2
224,3,81,111.24,1938.51,0.9426,lm-2
225,3,82,1015.7,7897.85,0.8714,lm-1
226,3,83,error,error,error,error
227,3,85,254.76,610.34,0.5826,lm-1
228,3,87,401.35,1293.86,0.6898,lm-1
229,3,90,91.94,1785.5,0.9485,lm-1
230,3,91,135.26,495.33,0.7269,lm-1
231,3,92,385.83,9331.54,0.9587,lm-2
232,3,93,error,error,error,error
233,3,94,408.98,89.38,-3.5759,lm-1
234,3,95,1468.06,19725.33,0.9256,lm-1
235,3,96,453.37,4171.34,0.8913,lm-1
236,3,97,66.25,538.75,0.877,lm-1
237,3,98,37.62,41.38,0.0908,lm-2
238,3,99,error,error,error,error
239,3,39,error,error,error,error
240,3,50,error,error,error,error
241,3,43,error,error,error,error
242,3,65,error,error,error,error
243,4,1,2142.76,34512.53,0.9379,lm-1
244,4,2,4480.55,99350.47,0.9549,lm-1
